,model,n_steps,n_envs,run_time,steps_per_second
0,humanoid_mjx.xml,1,1,5.745887756347656e-05,17403.7510373444
1,humanoid_mjx.xml,1,1,4.0531158447265625e-05,24672.376470588235
2,humanoid_mjx.xml,1,1,3.8623809814453125e-05,25890.765432098764
3,humanoid_mjx.xml,1,2,5.745887756347656e-05,34807.5020746888
4,humanoid_mjx.xml,1,2,5.507469177246094e-05,36314.320346320346
5,humanoid_mjx.xml,1,2,5.841255187988281e-05,34239.216326530615
6,humanoid_mjx.xml,1,3,7.748603820800781e-05,38716.65230769231
7,humanoid_mjx.xml,1,3,7.367134094238281e-05,40721.398058252424
8,humanoid_mjx.xml,1,4,9.274482727050781e-05,43129.089974293056
9,humanoid_mjx.xml,1,5,0.00010991096496582031,45491.366594360086
10,humanoid_mjx.xml,1,6,0.00012826919555664062,46776.62453531598
11,humanoid_mjx.xml,1,7,0.0001461505889892578,47895.804241435566
12,humanoid_mjx.xml,1,8,0.00016427040100097656,48700.1915820029
13,humanoid_mjx.xml,1,10,0.00020313262939453125,49228.920187793425
14,humanoid_mjx.xml,1,11,0.00021767616271972656,50533.78313253012
15,humanoid_mjx.xml,1,13,0.0002598762512207031,50023.80917431193
16,humanoid_mjx.xml,1,16,0.0003075599670410156,52022.37519379845
17,humanoid_mjx.xml,1,19,0.00036025047302246094,52741.08272667108
18,humanoid_mjx.xml,1,23,0.0004363059997558594,52715.29617486339
19,humanoid_mjx.xml,1,27,0.0005064010620117188,53317.42372881356
20,humanoid_mjx.xml,1,32,0.0005986690521240234,53451.90282755874
21,humanoid_mjx.xml,1,38,0.0006985664367675781,54397.11672354949
22,humanoid_mjx.xml,1,45,0.0008313655853271484,54127.81187266992
23,humanoid_mjx.xml,1,54,0.0009903907775878906,54523.93259508907
24,humanoid_mjx.xml,1,64,0.0011708736419677734,54660.03991040521
25,humanoid_mjx.xml,1,76,0.0013842582702636719,54903.04925938684
26,humanoid_mjx.xml,1,91,0.001650094985961914,55148.340413235084
27,humanoid_mjx.xml,1,108,0.0019600391387939453,55100.94051818513
28,humanoid_mjx.xml,1,128,0.002311229705810547,55381.773468124615
29,humanoid_mjx.xml,1,152,0.0027472972869873047,55327.10301136857
30,humanoid_mjx.xml,1,181,0.003270864486694336,55337.05255485094
31,humanoid_mjx.xml,1,215,0.0038874149322509766,55306.676479607486
32,humanoid_mjx.xml,1,256,0.004613161087036133,55493.40141609385
33,humanoid_mjx.xml,1,304,0.0054779052734375,55495.66573816156
34,humanoid_mjx.xml,1,362,0.006522178649902344,55502.92615879515
35,humanoid_mjx.xml,1,431,0.007746219635009766,55640.043828870424
36,humanoid_mjx.xml,1,512,0.009199142456054688,55657.36180800332
37,humanoid_mjx.xml,1,1,4.267692565917969e-05,23431.86592178771
38,humanoid_mjx.xml,1,1,3.933906555175781e-05,25420.024242424242
39,humanoid_mjx.xml,1,1,3.8623809814453125e-05,25890.765432098764
40,humanoid_mjx.xml,1,2,5.5789947509765625e-05,35848.75213675214
41,humanoid_mjx.xml,1,2,0.00011968612670898438,16710.37450199203
42,humanoid_mjx.xml,1,2,5.6743621826171875e-05,35246.252100840335
43,humanoid_mjx.xml,1,3,7.414817810058594e-05,40459.52411575563
44,humanoid_mjx.xml,1,3,7.343292236328125e-05,40853.61038961039
45,humanoid_mjx.xml,1,4,9.202957153320312e-05,43464.290155440416
46,humanoid_mjx.xml,1,5,0.00010943412780761719,45689.58605664488
47,humanoid_mjx.xml,1,6,0.00012731552124023438,47127.011235955055
48,humanoid_mjx.xml,1,7,0.00014591217041015625,47974.06535947712
49,humanoid_mjx.xml,1,8,0.000164031982421875,48770.976744186046
50,humanoid_mjx.xml,1,10,0.00020003318786621094,49991.70441001192
51,humanoid_mjx.xml,1,11,0.00021767616271972656,50533.78313253012
52,humanoid_mjx.xml,1,13,0.0002541542053222656,51150.04878048781
53,humanoid_mjx.xml,1,16,0.0003075599670410156,52022.37519379845
54,humanoid_mjx.xml,1,19,0.0003609657287597656,52636.57595772787
55,humanoid_mjx.xml,1,23,0.0004305839538574219,53415.83167220376
56,humanoid_mjx.xml,1,27,0.0005033016204833984,53645.76409284699
57,humanoid_mjx.xml,1,32,0.0005941390991210938,53859.441412520064
58,humanoid_mjx.xml,1,38,0.0007026195526123047,54083.32270105192
59,humanoid_mjx.xml,1,45,0.000827789306640625,54361.65898617511
60,humanoid_mjx.xml,1,54,0.0009903907775878906,54523.93259508907
61,humanoid_mjx.xml,1,64,0.0011699199676513672,54704.59669859384
62,humanoid_mjx.xml,1,76,0.0013821125030517578,54988.28773503537
63,humanoid_mjx.xml,1,91,0.0016520023345947266,55084.66791744841
64,humanoid_mjx.xml,1,108,0.001955270767211914,55235.31666869894
65,humanoid_mjx.xml,1,128,0.002315998077392578,55267.74881614165
66,humanoid_mjx.xml,1,152,0.002744913101196289,55375.159211326325
67,humanoid_mjx.xml,1,181,0.0032629966735839844,55470.48253689902
68,humanoid_mjx.xml,1,215,0.0038716793060302734,55531.458833672026
69,humanoid_mjx.xml,1,256,0.004612445831298828,55502.00682311589
70,humanoid_mjx.xml,1,304,0.005461454391479492,55662.82865499629
