,model,n_steps,n_envs,run_time,steps_per_second
0,rodent.xml,1,1,0.001451253890991211,689.0593067192377
1,rodent.xml,1,1,0.0014147758483886719,706.8257499157398
2,rodent.xml,1,1,0.0014154911041259766,706.4685868283646
3,rodent.xml,1,2,0.002803325653076172,713.4383398537166
4,rodent.xml,1,2,0.002778768539428711,719.7432861432861
5,rodent.xml,1,2,0.0027704238891601562,721.9111876075732
6,rodent.xml,1,3,0.0041561126708984375,721.8283616337769
7,rodent.xml,1,3,0.0041544437408447266,722.1183357245337
8,rodent.xml,1,4,0.005522251129150391,724.3422847767896
9,rodent.xml,1,5,0.006885051727294922,726.2109564374264
10,rodent.xml,1,6,0.00830388069152832,722.5537339573344
11,rodent.xml,1,7,0.009634733200073242,726.5380218257405
12,rodent.xml,1,8,0.010987997055053711,728.0671772951158
13,rodent.xml,1,10,0.013685464859008789,730.7022525739969
14,rodent.xml,1,11,0.015002250671386719,733.2233170173542
15,rodent.xml,1,13,0.017819643020629883,729.5320105430754
16,rodent.xml,1,16,0.021935224533081055,729.4203884655935
17,rodent.xml,1,19,0.025981426239013672,731.2916475489566
18,rodent.xml,1,23,0.03144526481628418,731.4296805695612
19,rodent.xml,1,27,0.03690147399902344,731.6780896262986
20,rodent.xml,1,32,0.043695926666259766,732.3337080000437
21,rodent.xml,1,38,0.051941871643066406,731.5870375470486
22,rodent.xml,1,45,0.06151175498962402,731.5674866956849
23,rodent.xml,1,54,0.07383084297180176,731.4016449822229
24,rodent.xml,1,64,0.08731722831726074,732.9595915191065
25,rodent.xml,1,76,0.10372114181518555,732.733931288761
26,rodent.xml,1,91,0.1240549087524414,733.5461443254587
27,rodent.xml,1,108,0.1479320526123047,730.0649054268364
28,rodent.xml,1,128,0.17493700981140137,731.6919395043742
29,rodent.xml,1,152,0.20734405517578125,733.0810611914486
30,rodent.xml,1,181,0.2469167709350586,733.0405274399311
31,rodent.xml,1,215,0.2933790683746338,732.8402847249255
32,rodent.xml,1,256,0.34979772567749023,731.851527919965
33,rodent.xml,1,304,0.41582727432250977,731.072776539958
34,rodent.xml,1,362,0.4944167137145996,732.1758952691135
35,rodent.xml,1,431,0.589317798614502,731.3541199897402
36,rodent.xml,1,512,0.6992850303649902,732.1764055677879
37,rodent.xml,1,1,0.0014414787292480469,693.7320542507443
38,rodent.xml,1,1,0.0014150142669677734,706.7066554338669
39,rodent.xml,1,1,0.001407623291015625,710.4173441734417
40,rodent.xml,1,2,0.003113269805908203,642.4113953132179
41,rodent.xml,1,2,0.0028023719787597656,713.6811298281436
42,rodent.xml,1,2,0.0028994083404541016,689.7959049420278
43,rodent.xml,1,3,0.0041577816009521484,721.5386203337347
44,rodent.xml,1,3,0.004179954528808594,717.7111567419576
45,rodent.xml,1,4,0.005517005920410156,725.0309420916162
46,rodent.xml,1,5,0.00685882568359375,728.9877641824249
47,rodent.xml,1,6,0.008265256881713867,725.9302506706666
48,rodent.xml,1,7,0.00961923599243164,727.7085212908343
49,rodent.xml,1,8,0.010969161987304688,729.3173361154581
50,rodent.xml,1,10,0.013779878616333008,725.6957973597246
51,rodent.xml,1,11,0.015102863311767578,728.3387112051274
52,rodent.xml,1,13,0.017772436141967773,731.4697825416202
53,rodent.xml,1,16,0.021842241287231445,732.525558599762
54,rodent.xml,1,19,0.02600836753845215,730.5341241394483
55,rodent.xml,1,23,0.031495094299316406,730.2724602573808
56,rodent.xml,1,27,0.03688335418701172,732.0375436328377
57,rodent.xml,1,32,0.043799638748168945,730.5996331154163
58,rodent.xml,1,38,0.051877498626708984,732.4948389172297
59,rodent.xml,1,45,0.061398983001708984,732.9111623680716
60,rodent.xml,1,54,0.07372379302978516,732.4636698790505
61,rodent.xml,1,64,0.08781862258911133,728.7748100929037
62,rodent.xml,1,76,0.10395145416259766,731.1105035733617
