,batch_size,wallclock_time,steps_per_second,simulator,parallellisation,model,parition,control_inputs,rendering,solver
0,1,0.3167119026184082,315.74436948296653,mjx,none,rodent_optmimized,olveczkygpu,none,none,newton
1,2,0.3123650550842285,640.2764865809668,mjx,none,rodent_optmimized,olveczkygpu,none,none,newton
2,4,0.32976484298706055,1212.9855820188066,mjx,none,rodent_optmimized,olveczkygpu,none,none,newton
3,8,0.32706618309020996,2445.9881252209666,mjx,none,rodent_optmimized,olveczkygpu,none,none,newton
4,16,0.35997867584228516,4444.707721245679,mjx,none,rodent_optmimized,olveczkygpu,none,none,newton
5,32,0.42484283447265625,7532.197180569274,mjx,none,rodent_optmimized,olveczkygpu,none,none,newton
6,64,0.4561460018157959,14030.595411388684,mjx,none,rodent_optmimized,olveczkygpu,none,none,newton
7,128,0.5163345336914062,24790.129586122315,mjx,none,rodent_optmimized,olveczkygpu,none,none,newton
8,256,0.6590471267700195,38843.95965045054,mjx,none,rodent_optmimized,olveczkygpu,none,none,newton
9,512,0.8817651271820068,58065.34917481683,mjx,none,rodent_optmimized,olveczkygpu,none,none,newton
10,1024,1.3148653507232666,77878.69681383949,mjx,none,rodent_optmimized,olveczkygpu,none,none,newton
11,2048,2.20271897315979,92976.00034116715,mjx,none,rodent_optmimized,olveczkygpu,none,none,newton
12,4096,4.080358982086182,100383.32455508171,mjx,none,rodent_optmimized,olveczkygpu,none,none,newton
13,8192,8.107982635498047,101036.23019780668,mjx,none,rodent_optmimized,olveczkygpu,none,none,newton
