,model,n_steps,n_envs,n_workers,run_time,steps_per_second
0,humanoid_mjx.xml,1,1,48,0.006453514099121094,154.95433722476724
1,humanoid_mjx.xml,1,1,48,0.004013538360595703,249.15670666508257
2,humanoid_mjx.xml,1,1,48,0.0037865638732910156,264.09167611132096
3,humanoid_mjx.xml,1,2,48,0.003772735595703125,530.1193124368049
4,humanoid_mjx.xml,1,2,48,0.003775358200073242,529.7510577833913
5,humanoid_mjx.xml,1,2,48,0.003820180892944336,523.5354178368596
6,humanoid_mjx.xml,1,3,48,0.003611326217651367,830.7197464844523
7,humanoid_mjx.xml,1,3,48,0.00456547737121582,657.1054363152123
8,humanoid_mjx.xml,1,4,48,0.0037178993225097656,1075.876362703604
9,humanoid_mjx.xml,1,5,48,0.003673553466796875,1361.079958463136
10,humanoid_mjx.xml,1,6,48,0.0042040348052978516,1427.2003629558214
11,humanoid_mjx.xml,1,7,48,0.0036208629608154297,1933.2407980509647
12,humanoid_mjx.xml,1,8,48,0.0036246776580810547,2207.092810629481
13,humanoid_mjx.xml,1,10,48,0.003754854202270508,2663.219252016001
14,humanoid_mjx.xml,1,11,48,0.0038018226623535156,2893.3490530540575
15,humanoid_mjx.xml,1,13,48,0.00386810302734375,3360.8205128205127
16,humanoid_mjx.xml,1,16,48,0.003915309906005859,4086.521982706126
17,humanoid_mjx.xml,1,19,48,0.003984928131103516,4767.965537872442
18,humanoid_mjx.xml,1,23,48,0.004083395004272461,5632.567992059321
19,humanoid_mjx.xml,1,27,48,0.004198312759399414,6431.154977568289
20,humanoid_mjx.xml,1,32,48,0.00433349609375,7384.338028169014
21,humanoid_mjx.xml,1,38,48,0.0044002532958984375,8635.866493281317
22,humanoid_mjx.xml,1,45,48,0.0045261383056640625,9942.250316055626
23,humanoid_mjx.xml,1,54,48,0.006253957748413086,8634.532270977088
24,humanoid_mjx.xml,1,64,48,0.005624294281005859,11379.205426027978
25,humanoid_mjx.xml,1,76,48,0.005845546722412109,13001.350191695898
26,humanoid_mjx.xml,1,91,48,0.006657838821411133,13668.098979409131
27,humanoid_mjx.xml,1,108,48,0.006011009216308594,17967.032841504046
28,humanoid_mjx.xml,1,128,48,0.006011009216308594,21294.261145486278
29,humanoid_mjx.xml,1,152,48,0.0056324005126953125,26986.71723670843
30,humanoid_mjx.xml,1,181,48,0.0070955753326416016,25508.854675582137
31,humanoid_mjx.xml,1,215,48,0.006163597106933594,34882.22806746093
32,humanoid_mjx.xml,1,256,48,0.006284475326538086,40735.30194620433
33,humanoid_mjx.xml,1,304,48,0.007046222686767578,43143.68329160181
34,humanoid_mjx.xml,1,362,48,0.006853818893432617,52817.269558562635
35,humanoid_mjx.xml,1,431,48,0.00786280632019043,54815.034537129686
36,humanoid_mjx.xml,1,512,48,0.007515668869018555,68124.3424800939
37,humanoid_mjx.xml,1,609,48,0.007988929748535156,76230.4863316223
38,humanoid_mjx.xml,1,724,48,0.007172346115112305,100943.2601801682
39,humanoid_mjx.xml,1,861,48,0.008255720138549805,104291.32595951136
40,humanoid_mjx.xml,1,1024,48,0.007950782775878906,128792.35024589181
41,humanoid_mjx.xml,1,1218,48,0.008607864379882812,141498.51185464216
42,humanoid_mjx.xml,1,1448,48,0.008545160293579102,169452.64339722664
43,humanoid_mjx.xml,1,1722,48,0.010007858276367188,172064.7867352773
44,humanoid_mjx.xml,1,2048,48,0.010202884674072266,200727.5457307099
45,humanoid_mjx.xml,1,2435,48,0.01138162612915039,213941.30964849805
46,humanoid_mjx.xml,1,2896,48,0.011119604110717773,260440.9267780184
47,humanoid_mjx.xml,1,3444,48,0.012930870056152344,266339.38668043364
48,humanoid_mjx.xml,1,4096,48,0.013391733169555664,305860.3354875465
49,humanoid_mjx.xml,1,4871,48,0.014628410339355469,332982.18241084815
50,humanoid_mjx.xml,1,5793,48,0.016620159149169922,348552.6190216612
51,humanoid_mjx.xml,1,6889,48,0.017827272415161133,386430.3994222513
52,humanoid_mjx.xml,1,8192,48,0.019086837768554688,429196.2921954632
53,humanoid_mjx.xml,1,9742,48,0.028689146041870117,339570.9299183087
54,humanoid_mjx.xml,1,11585,48,0.027266740798950195,424876.5954618983
55,humanoid_mjx.xml,1,13777,48,0.04120159149169922,334380.2872948638
56,humanoid_mjx.xml,1,16384,48,0.03915286064147949,418462.39921080996
57,humanoid_mjx.xml,1,19484,48,0.058417320251464844,333531.2184148233
58,humanoid_mjx.xml,1,23170,48,0.05613589286804199,412748.4006438707
59,humanoid_mjx.xml,1,27554,48,0.06790637969970703,405764.5264237062
60,humanoid_mjx.xml,1,32768,48,0.08915042877197266,367558.52384976624
61,humanoid_mjx.xml,1,38968,48,0.0965127944946289,403759.9388148338
62,humanoid_mjx.xml,1,46341,48,0.10567212104797363,438535.7229553654
63,humanoid_mjx.xml,1,55109,48,0.12412095069885254,443994.3433377961
64,humanoid_mjx.xml,1,65536,48,0.17618083953857422,371981.4264232241
65,humanoid_mjx.xml,2,1,48,0.004823446273803711,414.6412930650981
66,humanoid_mjx.xml,2,1,48,0.003889799118041992,514.1653692920626
67,humanoid_mjx.xml,2,1,48,0.003717184066772461,538.0416907190046
68,humanoid_mjx.xml,2,2,48,0.0036666393280029297,1090.9172247870472
69,humanoid_mjx.xml,2,2,48,0.0039017200469970703,1025.1888787045525
