,model,n_steps,n_envs,n_workers,run_time,steps_per_second
0,humanoid_mjx.xml,1,1,48,0.005955696105957031,167.90648518815053
1,humanoid_mjx.xml,1,1,48,0.004002809524536133,249.82452796473882
2,humanoid_mjx.xml,1,1,48,0.0038967132568359375,256.6265296133138
3,humanoid_mjx.xml,1,2,48,0.0037806034088134766,529.016081225957
4,humanoid_mjx.xml,1,2,48,0.0038230419158935547,523.1436233239788
5,humanoid_mjx.xml,1,2,48,0.0037462711334228516,533.8641888881817
6,humanoid_mjx.xml,1,3,48,0.0037622451782226562,797.3961977186311
7,humanoid_mjx.xml,1,3,48,0.003862142562866211,776.7709117846781
8,humanoid_mjx.xml,1,4,48,0.0036630630493164062,1091.9822962770113
9,humanoid_mjx.xml,1,5,48,0.0037631988525390625,1328.6568677141408
10,humanoid_mjx.xml,1,6,48,0.0037848949432373047,1585.2487559055119
11,humanoid_mjx.xml,1,7,48,0.003812551498413086,1836.0407729347758
12,humanoid_mjx.xml,1,8,48,0.0037622451782226562,2126.3898605830163
13,humanoid_mjx.xml,1,10,48,0.0038666725158691406,2586.2029843383893
14,humanoid_mjx.xml,1,11,48,0.003814697265625,2883.584
15,humanoid_mjx.xml,1,13,48,0.0038661956787109375,3362.478539713863
16,humanoid_mjx.xml,1,16,48,0.0040051937103271484,3994.8130245847965
17,humanoid_mjx.xml,1,19,48,0.003985166549682617,4767.680287167215
18,humanoid_mjx.xml,1,23,48,0.004096031188964844,5615.191618160652
19,humanoid_mjx.xml,1,27,48,0.004288673400878906,6295.653102068045
20,humanoid_mjx.xml,1,32,48,0.004312753677368164,7419.853391563934
21,humanoid_mjx.xml,1,38,48,0.004534482955932617,8380.227772227772
22,humanoid_mjx.xml,1,45,48,0.004614830017089844,9751.171729696218
23,humanoid_mjx.xml,1,54,48,0.006471395492553711,8344.413513613086
24,humanoid_mjx.xml,1,64,48,0.006850719451904297,9342.084499199555
25,humanoid_mjx.xml,1,76,48,0.006975412368774414,10895.413200259767
26,humanoid_mjx.xml,1,91,48,0.006798744201660156,13384.824800112217
27,humanoid_mjx.xml,1,108,48,0.005539417266845703,19496.63562021176
28,humanoid_mjx.xml,1,128,48,0.006072044372558594,21080.214857860847
29,humanoid_mjx.xml,1,152,48,0.00614166259765625,24748.998757763977
30,humanoid_mjx.xml,1,181,48,0.006277799606323242,28831.758155785956
31,humanoid_mjx.xml,1,215,48,0.00648045539855957,33176.68076965527
32,humanoid_mjx.xml,1,256,48,0.0061626434326171875,41540.61528938409
33,humanoid_mjx.xml,1,304,48,0.0064525604248046875,47113.08069760568
34,humanoid_mjx.xml,1,362,48,0.006967306137084961,51956.953358655854
35,humanoid_mjx.xml,1,431,48,0.007875919342041016,54723.770176182115
36,humanoid_mjx.xml,1,512,48,0.007631540298461914,67089.99493892342
37,humanoid_mjx.xml,1,609,48,0.008059024810791016,75567.45565351163
38,humanoid_mjx.xml,1,724,48,0.007540225982666016,96018.34237652564
39,humanoid_mjx.xml,1,861,48,0.008617401123046875,99914.11420982736
40,humanoid_mjx.xml,1,1024,48,0.007982969284057617,128273.07278320342
41,humanoid_mjx.xml,1,1,48,0.0037157535552978516,269.1244145011229
42,humanoid_mjx.xml,1,1,48,0.0036432743072509766,274.478371834304
