,model,n_steps,n_envs,n_workers,run_time,steps_per_second
0,rodent.xml,1,1,20,0.00648045539855957,154.3101431146757
1,rodent.xml,1,1,20,0.0047266483306884766,211.56640605296343
2,rodent.xml,1,1,20,0.004450321197509766,224.70288224579448
3,rodent.xml,1,2,20,0.006057262420654297,330.182161694088
4,rodent.xml,1,2,20,0.006051540374755859,330.49436608620283
5,rodent.xml,1,2,20,0.006002664566040039,333.18536759741033
6,rodent.xml,1,3,20,0.007325410842895508,409.533344182262
7,rodent.xml,1,3,20,0.0070340633392333984,426.49601735416735
8,rodent.xml,1,4,20,0.008478879928588867,471.7604251609819
9,rodent.xml,1,5,20,0.009727716445922852,513.9952452145781
10,rodent.xml,1,6,20,0.01106405258178711,542.2967719691419
11,rodent.xml,1,7,20,0.012447357177734375,562.3683726631933
12,rodent.xml,1,8,20,0.013819217681884766,578.9039715675788
13,rodent.xml,1,10,20,0.01652812957763672,605.02913853788
14,rodent.xml,1,11,20,0.017833709716796875,616.8094117647058
15,rodent.xml,1,13,20,0.020417451858520508,636.7102070366781
16,rodent.xml,1,16,20,0.024446487426757812,654.4907544667238
17,rodent.xml,1,19,20,0.028629779815673828,663.6446428274013
18,rodent.xml,1,23,20,0.03411602973937988,674.169889512415
19,rodent.xml,1,27,20,0.03936195373535156,685.9415612734409
20,rodent.xml,1,32,20,0.046239376068115234,692.0508605665611
21,rodent.xml,1,38,20,0.054621219635009766,695.7003203869086
22,rodent.xml,1,45,20,0.06397533416748047,703.3960914091499
23,rodent.xml,1,54,20,0.07589483261108398,711.5108913503767
24,rodent.xml,1,64,20,0.09000825881958008,711.0458622278967
25,rodent.xml,1,76,20,0.1062781810760498,715.1044478792542
26,rodent.xml,1,91,20,0.1264345645904541,719.7398930803971
27,rodent.xml,1,108,20,0.14922285079956055,723.7497435635244
28,rodent.xml,1,128,20,0.17655515670776367,724.9859046137475
29,rodent.xml,1,152,20,0.21004199981689453,723.664791482213
30,rodent.xml,1,181,20,0.2480480670928955,729.6972805364147
31,rodent.xml,1,215,20,0.2941410541534424,730.9418286365511
32,rodent.xml,1,256,20,0.3492848873138428,732.9260706604132
33,rodent.xml,1,304,20,0.4145023822784424,733.409536343238
34,rodent.xml,1,362,20,0.49587059020996094,730.0291792798649
35,rodent.xml,1,431,20,0.5857424736022949,735.818246796012
36,rodent.xml,1,512,20,0.6955838203430176,736.0723251836339
37,rodent.xml,1,609,20,0.831646203994751,732.2825464418806
38,rodent.xml,1,724,20,0.9820196628570557,737.2561134810868
39,rodent.xml,1,861,20,1.1668944358825684,737.8559478251276
40,rodent.xml,1,1024,20,1.3963005542755127,733.3664638780543
41,rodent.xml,1,1,20,0.0048122406005859375,207.80340864050734
42,rodent.xml,1,1,20,0.004784107208251953,209.0254161267816
43,rodent.xml,1,1,20,0.004935503005981445,202.6135935462055
44,rodent.xml,1,2,20,0.006229400634765625,321.0581751377832
45,rodent.xml,1,2,20,0.006372928619384766,313.82745978301534
46,rodent.xml,1,2,20,0.006156444549560547,324.86283014483774
47,rodent.xml,1,3,20,0.007467985153198242,401.71477827794274
48,rodent.xml,1,3,20,0.007308483123779297,410.48189469563516
49,rodent.xml,1,4,20,0.008567333221435547,466.88974230533756
50,rodent.xml,1,5,20,0.009949684143066406,502.52851528802836
51,rodent.xml,1,6,20,0.011350393295288086,528.6160438590964
52,rodent.xml,1,7,20,0.012522459030151367,558.995640005331
53,rodent.xml,1,8,20,0.013950347900390625,573.4624008750342
54,rodent.xml,1,10,20,0.016476869583129883,606.911400830572
55,rodent.xml,1,11,20,0.01787281036376953,615.4600074702524
56,rodent.xml,1,13,20,0.02057647705078125,631.7893956247683
57,rodent.xml,1,16,20,0.024519920349121094,652.5306678075532
58,rodent.xml,1,19,20,0.028585433959960938,664.6741842930539
59,rodent.xml,1,23,20,0.03387331962585449,679.0004715819109
60,rodent.xml,1,27,20,0.03949093818664551,683.7011537277299
61,rodent.xml,1,32,20,0.04623746871948242,692.0794084585477
62,rodent.xml,1,38,20,0.05428051948547363,700.0669919927615
63,rodent.xml,1,45,20,0.06384825706481934,704.7960597313657
64,rodent.xml,1,54,20,0.07618927955627441,708.7611316775201
65,rodent.xml,1,64,20,0.08989357948303223,711.9529600229152
66,rodent.xml,1,76,20,0.10611414909362793,716.2098612593384
67,rodent.xml,1,91,20,0.12633943557739258,720.281831117217
68,rodent.xml,1,108,20,0.14910650253295898,724.3144877342108
69,rodent.xml,1,128,20,0.17765331268310547,720.5044367977754
70,rodent.xml,1,152,20,0.20881414413452148,727.9200392770286
71,rodent.xml,1,181,20,0.24797320365905762,729.9175770978054
72,rodent.xml,1,215,20,0.29364538192749023,732.1756555091674
73,rodent.xml,1,256,20,0.34960460662841797,732.2557973959797
74,rodent.xml,1,304,20,0.41694045066833496,729.1209080642163
75,rodent.xml,1,362,20,0.49242448806762695,735.1380948184787
76,rodent.xml,1,431,20,0.5859296321868896,735.5832105492952
77,rodent.xml,1,512,20,0.6997570991516113,731.6824661311063
78,rodent.xml,1,609,20,0.8258333206176758,737.4369437461097
79,rodent.xml,1,724,20,0.9818525314331055,737.3816095816898
80,rodent.xml,1,861,20,1.174448013305664,733.1103550310272
81,rodent.xml,1,1024,20,1.388195276260376,737.648382408077
82,rodent.xml,1,1,20,0.00506281852722168,197.51843654344242
83,rodent.xml,1,1,20,0.0050051212310791016,199.79536035821465
84,rodent.xml,1,1,20,0.005019426345825195,199.22595354581296
85,rodent.xml,1,2,20,0.0063054561614990234,317.18561651605097
86,rodent.xml,1,2,20,0.006367921829223633,314.0742071960762
87,rodent.xml,1,2,20,0.006231546401977539,320.9476221448521
88,rodent.xml,1,3,20,0.007440328598022461,403.2079982055308
89,rodent.xml,1,3,20,0.007408618927001953,404.9337709982622
90,rodent.xml,1,4,20,0.008742570877075195,457.5313207341351
91,rodent.xml,1,5,20,0.010039567947387695,498.0293998907597
92,rodent.xml,1,6,20,0.011235475540161133,534.0227904509284
93,rodent.xml,1,7,20,0.012565135955810547,557.0970361656105
94,rodent.xml,1,8,20,0.013776540756225586,580.6972985134036
95,rodent.xml,1,10,20,0.01656484603881836,603.6880739226806
96,rodent.xml,1,11,20,0.017903566360473633,614.4027272848334
97,rodent.xml,1,13,20,0.020420074462890625,636.6284326545862
98,rodent.xml,1,16,20,0.0247499942779541,646.4647959232822
99,rodent.xml,1,19,20,0.028521299362182617,666.1688080450066
100,rodent.xml,1,23,20,0.03384590148925781,679.5505212735982
101,rodent.xml,1,27,20,0.03935980796813965,685.9789565501826
102,rodent.xml,1,32,20,0.04609346389770508,694.2415972689184
103,rodent.xml,1,38,20,0.05434560775756836,699.2285405936598
104,rodent.xml,1,45,20,0.06434822082519531,699.3200343836145
105,rodent.xml,1,54,20,0.07599186897277832,710.6023411444689
106,rodent.xml,1,64,20,0.08929085731506348,716.7587133156926
107,rodent.xml,1,76,20,0.10557293891906738,719.8814466864646
108,rodent.xml,1,91,20,0.12587547302246094,722.9367073263126
109,rodent.xml,1,108,20,0.14913225173950195,724.1894274395449
110,rodent.xml,1,128,20,0.17574477195739746,728.3289202539047
111,rodent.xml,1,152,20,0.20852303504943848,728.9362538002696
112,rodent.xml,1,181,20,0.24853825569152832,728.2581085812681
113,rodent.xml,1,215,20,0.29410290718078613,731.0366363289252
114,rodent.xml,1,256,20,0.35005760192871094,731.3082149609603
115,rodent.xml,1,304,20,0.4174637794494629,728.2068887530911
116,rodent.xml,1,362,20,0.4932985305786133,733.8355530380214
117,rodent.xml,1,431,20,0.5871667861938477,734.0333447568496
118,rodent.xml,1,512,20,0.7006270885467529,730.7739143543465
119,rodent.xml,1,609,20,0.8268575668334961,736.5234647754443
120,rodent.xml,1,724,20,0.9828402996063232,736.6405308064782
121,rodent.xml,1,861,20,1.1683051586151123,736.9649903973836
122,rodent.xml,1,1024,20,1.3952772617340088,733.9043128441751
123,rodent.xml,2,1,20,0.006628751754760742,301.7159299356185
124,rodent.xml,2,1,20,0.0059125423431396484,338.2639622565426
125,rodent.xml,2,1,20,0.006064414978027344,329.7927347067149
126,rodent.xml,2,2,20,0.008077621459960938,495.1952774498229
127,rodent.xml,2,2,20,0.007699012756347656,519.5471324166977
128,rodent.xml,2,2,20,0.007690906524658203,520.0947361894724
129,rodent.xml,2,3,20,0.009627103805541992,623.2403972361872
130,rodent.xml,2,3,20,0.009613752365112305,624.1059444981772
131,rodent.xml,2,4,20,0.011682510375976562,684.7843265306122
132,rodent.xml,2,5,20,0.013667583465576172,731.6582353556851
133,rodent.xml,2,6,20,0.015944957733154297,752.5890128293311
134,rodent.xml,2,7,20,0.017704010009765625,790.7812971342383
135,rodent.xml,2,8,20,0.019762516021728516,809.6135118832187
136,rodent.xml,2,10,20,0.023940324783325195,835.4105544102855
137,rodent.xml,2,11,20,0.025898218154907227,849.4792911392406
138,rodent.xml,2,13,20,0.030110597610473633,863.4833601228888
139,rodent.xml,2,16,20,0.036237478256225586,883.0636550848405
140,rodent.xml,2,19,20,0.04255414009094238,892.9800935652856
141,rodent.xml,2,23,20,0.0509800910949707,902.3130208674343
142,rodent.xml,2,27,20,0.0593106746673584,910.4600529813038
143,rodent.xml,2,32,20,0.07017970085144043,911.9446110988432
144,rodent.xml,2,38,20,0.08269977569580078,918.9867730664114
145,rodent.xml,2,45,20,0.09708333015441895,927.038656964565
146,rodent.xml,2,54,20,0.11604166030883789,930.7002305255243
147,rodent.xml,2,64,20,0.13671135902404785,936.2791864097006
148,rodent.xml,2,76,20,0.16170454025268555,939.9859754245559
149,rodent.xml,2,91,20,0.19281649589538574,943.9026425350332
150,rodent.xml,2,108,20,0.22841429710388184,945.6500873137733
151,rodent.xml,2,128,20,0.2711033821105957,944.2892154534821
152,rodent.xml,2,152,20,0.3199493885040283,950.1502766465593
153,rodent.xml,2,181,20,0.38017964363098145,952.1814386026745
154,rodent.xml,2,215,20,0.45107316970825195,953.2821477236569
155,rodent.xml,2,256,20,0.5366866588592529,954.0017281001072
156,rodent.xml,2,304,20,0.6364552974700928,955.290972385331
157,rodent.xml,2,362,20,0.757274866104126,956.059724687138
158,rodent.xml,2,431,20,0.9043583869934082,953.1619459689746
159,rodent.xml,2,512,20,1.0707690715789795,956.3219812559464
160,rodent.xml,2,609,20,1.2710041999816895,958.2973840822453
161,rodent.xml,2,724,20,1.5118310451507568,957.778982409776
162,rodent.xml,2,861,20,1.7976059913635254,957.9407324370472
163,rodent.xml,2,1024,20,2.136482000350952,958.5851880163664
164,rodent.xml,2,1,20,0.005806684494018555,344.43063026072673
165,rodent.xml,2,1,20,0.0057010650634765625,350.8116426898628
166,rodent.xml,2,1,20,0.005743503570556641,348.2195101701951
167,rodent.xml,2,2,20,0.00761866569519043,525.0263182600532
168,rodent.xml,2,2,20,0.007669210433959961,521.5660770354712
169,rodent.xml,2,2,20,0.007409811019897461,539.824833488851
